"Species";"Site";"Model";"Nb Occ.";"Sample Bias";"Boyce_pvalue";"cAUC_pvalue";"AUC_pvalue";"TSS_pvalue"
"Rhinolophus ferrumequinum";"Thau";"ANN";35;-0,242;0,967209835903007;0,849699490761603;0,883935656403008;0,889727939385316
"Rhinolophus ferrumequinum";"Thau";"CTA";35;-0,242;0,342095731595449;0,324246279583658;0,393372803247492;0,395457311911927
"Rhinolophus ferrumequinum";"Thau";"FDA";35;-0,242;0,439667690310647;0,414649448698603;0,484097318422649;0,490603215262387
"Rhinolophus ferrumequinum";"Thau";"GAM";35;-0,242;0,714316214329733;0,645439835196741;0,704889937474875;0,552603643195002
"Rhinolophus ferrumequinum";"Thau";"GBM";35;-0,242;0,467507039730808;0,626205323920928;0,688098772814544;0,451632990093218
"Rhinolophus ferrumequinum";"Thau";"GLM";35;-0,242;0,726298609032414;0,797247994655274;0,844460514903415;0,692458418603446
"Rhinolophus ferrumequinum";"Thau";"RF";35;-0,242;0,626261385670727;0,388025581360817;0,459477574660594;0,560800903619681
"Rhinolophus ferrumequinum";"Thau";"SRE";35;-0,242;0,719292035244603;0,794381025657094;0,853604543133395;0,817538058436915
"Tarentola mauritanica";"Thau";"ANN";93;0,743;0,472203438904234;0,00000119129365814771;0,893734539426389;0,98922932526862
"Tarentola mauritanica";"Thau";"CTA";93;0,743;0,573537606250136;0,00000644958963858637;0,904025090543452;0,877778334431583
"Tarentola mauritanica";"Thau";"FDA";93;0,743;0,934643924869105;0,0000831185784214119;0,996588742819448;0,998120373250952
"Tarentola mauritanica";"Thau";"GAM";93;0,743;0,980849679354149;0,000350072025860318;0,993762626798699;0,994683010730097
"Tarentola mauritanica";"Thau";"GBM";93;0,743;0,827838945220036;0,000567404423916343;0,998726256948556;0,992834583083319
"Tarentola mauritanica";"Thau";"GLM";93;0,743;0,99016444688565;0,00329628344035329;0,997872616950398;0,995281825516095
"Tarentola mauritanica";"Thau";"RF";93;0,743;0,997974670998945;0,00115870111079925;0,998361456192234;0,995771073539168
"Tarentola mauritanica";"Thau";"SRE";93;0,743;NA;0,0000000709629431644484;0,963422276593098;0,961749980708772
"Timon lepidus";"Thau";"ANN";51;0,551;0,967736145127408;0,0903607356249373;0,0603682314100012;0,0531521303108731
"Timon lepidus";"Thau";"CTA";51;0,551;0,0790632488160625;0,14486741826658;0,0939129629990427;0,151264219729466
"Timon lepidus";"Thau";"FDA";51;0,551;0,924346441506264;0,0121767455349613;0,00673743282513375;0,0661095096937945
"Timon lepidus";"Thau";"GAM";51;0,551;0,918211337012229;0,0179737006575773;0,0094114718055068;0,0266624484907701
"Timon lepidus";"Thau";"GBM";51;0,551;0,964714512643077;0,00966312230912854;0,00523602323676905;0,00141275531039327
