"Species";"Site";"Model";"Schoener_Cor";"Schoener_Uncor";"Schoener_pvalue";"Pearson_Cor";"Pearson_Uncor";"Pearson_pvalue";"RMSE_Cor";"RMSE_Uncor";"RMSE_pvalue"
"Philograss thauensis";"Thau";"SRE";0,539615144137775;0,52818884658519;0,018312626145179;0,814044041007194;0,808154140036584;0,0251211031370764;144,732993767726;144,66958291347;0,625619146747757
"Philograss thauensis";"Thau";"RF";0,694641414923981;0,696248913692812;0,585931268416897;0,904777268683652;0,905816138828817;0,628015316576779;110,990138791753;112,340085670794;0,142584903323414
"Fugiagristhauensis";"Thau";"GLM";0,809569648923786;0,795041903538424;0,00000000892784048076262;0,942232993130435;0,928109224732174;0,0000000000000135547152472598;135,004331242929;147,982640380713;0,00000000000000288657986402541
"Fugiagristhauensis";"Thau";"GAM";0,756765733595057;0,754808969799742;0,237755576713695;0,909174332916568;0,908529515634454;0,388217148169926;167,848737443117;169,238212795592;0,219004431807633
"Fugiagristhauensis";"Thau";"ANN";0,743030082011687;0,737594290208667;0,0000839576139596857;0,889041099146008;0,890482190648677;0,714623370121956;179,338315857232;180,429098446336;0,222954080043114
"Fugiagristhauensis";"Thau";"FDA";0,7566650179933;0,742320330311286;0,000000000000354254964569035;0,887910833091687;0,875668991237976;0,00000000067358490628887;175,133989543537;184,884429428676;0,0000000000000240918396343659
"Fugiagristhauensis";"Thau";"GBM";0,7566650179933;0,792381851406832;1;0,887910833091687;0,866444032818816;0,000000000000000000000401864353970453;175,133989543537;166,378902048566;0,999999993491937
"Fugiagristhauensis";"Thau";"CTA";0,729284410929137;0,724419145402948;0,0248295783894033;0,845907177384008;0,83947488543195;0,0000314935277110016;199,390966627805;202,482396442232;0,0173989795445495
"Fugiagristhauensis";"Thau";"SRE";0,647273478591371;0,571860843171892;0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000308396620231338;0,821346697234958;0,744154828014326;0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000785197906669072;314,49176636729;335,664910598121;0
"Fugiagristhauensis";"Thau";"RF";0,656928663572573;0,693521817285274;1;0,798671351279292;0,831777729119169;1;253,747926546408;220,183074985786;1
"Alteragris thauensis";"Thau";"GLM";0,687252205557787;0,724178516329714;0,9999999999459;0,551015122269119;0,63880033741363;0,999999791684396;364,046209057138;342,054837137559;0,99999999870672
"Alteragris thauensis";"Thau";"GAM";0,712367848348834;0,730174778256966;0,999999570503519;0,590236498974383;0,630111974286248;0,99997782436622;359,919084627306;346,898466745828;0,999995176678875
"Alteragris thauensis";"Thau";"ANN";0,590205690992527;0,628999205866601;0,999999999937906;0,207572630585342;0,364612687808375;0,999999999999651;433,159794263401;406,407627379096;0,999999999996687
"Alteragris thauensis";"Thau";"FDA";0,694650746420654;0,712394724594209;0,999997190349135;0,619731770057947;0,624485872156356;0,671337173010791;350,195621116425;346,206664581625;0,930174534462212
"Alteragris thauensis";"Thau";"GBM";0,633761760809155;0,671960342049798;1;0,626691809808441;0,643812242157467;0,999653702902524;374,985862521774;352,065327264357;0,999999999999999
"Alteragris thauensis";"Thau";"CTA";0,677013951171615;0,691025841298952;0,999279389941372;0,498885312402468;0,525397696380682;0,980590406598266;388,819877173973;383,380736649766;0,880566763302539
"Alteragris thauensis";"Thau";"SRE";0,676830902433107;0,71515068316705;0,999999999999962;0,584354847296933;0,61477134014779;0,999999999999999;430,096237534382;413,905102913284;0,999999999999999
"Alteragris thauensis";"Thau";"RF";0,708658730251303;0,734385486020128;1;0,630176009980941;0,652716216442405;0,999999999992033;346,091711666549;338,351986400319;0,999999999999682
"Philocourdos belgiumensis";"Grote Nete";"GLM";0,867586604510438;0,863522360813123;0,0126551378668316;0,965154295970072;0,96427915957599;0,147479936429555;127,454551621808;142,876108552019;0
"Philocourdos belgiumensis";"Grote Nete";"GAM";0,832728920538252;0,829532888439522;0,011164798023655;0,938628417246744;0,939356353588941;0,817064150031594;158,275133014637;167,996646419819;0
"Philocourdos belgiumensis";"Grote Nete";"ANN";0,818529989251046;0,805545695056188;0,0357729084485172;0,925621781981492;0,893715066261282;0,0575817876105792;169,908923846323;184,579465717077;0,00251778338017139
"Philocourdos belgiumensis";"Grote Nete";"FDA";0,843628650852105;0,841011564027159;0,00631855785419983;0,937257589297197;0,941557749081537;0,999999757743171;155,400995599062;162,334492264278;0
"Philocourdos belgiumensis";"Grote Nete";"GBM";0,843628650852105;0,841011564027159;0,00631855785419983;0,937257589297197;0,941557749081537;0,999999757743171;155,400995599062;162,334492264278;0
