"Species";"Site";"Model";"Nb Occ.";"Sample Bias";"Boyce_pvalue";"cAUC_pvalue";"AUC_pvalue";"TSS_pvalue"
"Philoherbagenos belgiumensis";"Grote Nete";"FDA";80;0,634;0,625732783905315;0,0299332190671058;0,395614042582309;0,50670039875941
"Philoherbagenos belgiumensis";"Grote Nete";"GAM";80;0,634;0,865331278967176;0,0288437256218552;0,368533391201503;0,548288548690038
"Philoherbagenos belgiumensis";"Grote Nete";"GBM";80;0,634;NA;NA;NA;NA
"Philoherbagenos belgiumensis";"Grote Nete";"GLM";80;0,634;0,885968092082566;0,0185990062488308;0,405433975975451;0,554955881748113
"Philoherbagenos belgiumensis";"Grote Nete";"RF";80;0,634;0,219325438477855;0,0901649760613229;0,547808820252469;0,179196138470737
"Philoherbagenos belgiumensis";"Grote Nete";"SRE";80;0,634;NA;0,0754960357018967;0,551207810314318;0,553031698925704
"Philoherbas belgiumensis";"Grote Nete";"ANN";80;-0,87;0,801709118292562;0,99995271014443;0,0840878714315137;0,0373308141524665
"Philoherbas belgiumensis";"Grote Nete";"CTA";80;-0,87;NA;0,998410093262489;0,0330606171322296;0,0336433845061879
"Philoherbas belgiumensis";"Grote Nete";"FDA";80;-0,87;NA;0,999389988144564;0,0197991967549856;0,02007626592447
"Philoherbas belgiumensis";"Grote Nete";"GAM";80;-0,87;0,351510812509075;0,992629899314306;0,0933630829312337;0,0304373312233504
"Philoherbas belgiumensis";"Grote Nete";"GBM";80;-0,87;0,0728150233571212;0,999999730650442;0,486033057686096;0,0514465274704452
"Philoherbas belgiumensis";"Grote Nete";"GLM";80;-0,87;0,442969729300155;0,999999982752502;0,560908302943514;0,14068561527534
"Philoherbas belgiumensis";"Grote Nete";"RF";80;-0,87;0,146988618973672;0,999999680043778;0,323774777662034;0,0514465274704452
"Philoherbas belgiumensis";"Grote Nete";"SRE";80;-0,87;NA;0,963303253786412;0,288075960687092;0,287880251765415
"Alteragris thauensis";"Thau";"ANN";100;0,821;0,495999848591595;0,0757016787666495;0,837496811729431;0,958060954481066
"Alteragris thauensis";"Thau";"CTA";100;0,821;0,590695608745218;0,217409646881734;0,995177064368306;0,997512326630885
"Alteragris thauensis";"Thau";"FDA";100;0,821;0,014793006727607;0,794639288749903;0,999759341580553;0,999871274324637
"Alteragris thauensis";"Thau";"GAM";100;0,821;0,742599130250372;0,4752954194608;0,996037973092739;0,998985307927271
"Alteragris thauensis";"Thau";"GBM";100;0,821;0,345201057983037;0,895394178363583;0,999896319800466;0,999895624027469
"Alteragris thauensis";"Thau";"GLM";100;0,821;0,895157345290836;0,974625602692671;0,999990910097535;0,999999216762693
"Alteragris thauensis";"Thau";"RF";100;0,821;0,487548879033422;0,9574203707201;0,999979478812908;0,999851122729443
"Alteragris thauensis";"Thau";"SRE";100;0,821;NA;0,894478608177674;0,999991219901557;0,999994660178604
"Fugiagristhauensis";"Thau";"ANN";300;0,985;0,801130513823774;0,674279484627066;0,878021446225281;0,436067141900879
"Fugiagristhauensis";"Thau";"CTA";300;0,985;0,786939560758392;0,551371113203901;0,854559450119815;0,767100795272174
"Fugiagristhauensis";"Thau";"FDA";300;0,985;0,856962790924178;0,952634418025272;0,991208630691346;0,649344582533472
"Fugiagristhauensis";"Thau";"GAM";300;0,985;0,974882983049738;0,935307883398244;0,987112160893486;0,785931065128209
"Fugiagristhauensis";"Thau";"GBM";300;0,985;NA;NA;NA;NA
"Fugiagristhauensis";"Thau";"GLM";300;0,985;0,995725202765174;0,882713124820901;0,974424068052053;0,726494465016332
"Fugiagristhauensis";"Thau";"RF";300;0,985;0,999999994163471;0,999274324471066;0,999937404639571;0,99969397375742
"Fugiagristhauensis";"Thau";"SRE";300;0,985;NA;0,266820922333699;0,599734563446874;0,61007983833758
"Philocourdogenos thauensis";"Thau";"ANN";300;0,993;0,65211863535078;0,998460722986329;0,999921201237484;0,99999709816254
"Philocourdogenos thauensis";"Thau";"CTA";300;0,993;0,339086045056;0,999923286942757;0,999999338297681;0,999998946061997
"Philocourdogenos thauensis";"Thau";"FDA";300;0,993;0,534106764724149;0,996130619627021;0,999807536621516;0,999997460251867
"Philocourdogenos thauensis";"Thau";"GAM";300;0,993;0,813139213621487;0,999451617407329;0,99997652902963;0,999999086308608
"Philocourdogenos thauensis";"Thau";"GBM";300;0,993;NA;NA;NA;NA
"Philocourdogenos thauensis";"Thau";"GLM";300;0,993;0,596883327105463;0,989151578331473;0,999039022537446;0,999997503241559
"Philocourdogenos thauensis";"Thau";"RF";300;0,993;0,694405798933198;0,99988619150514;0,999996657926991;0,999999892662947
"Philocourdogenos thauensis";"Thau";"SRE";300;0,993;NA;0,999553299949673;0,999991041522251;0,999991687246174
"Philocourdos thauensis";"Thau";"ANN";300;0,977;0,126441339322597;0,108179960179516;0,707297049749154;0,808664770463633
"Philocourdos thauensis";"Thau";"CTA";300;0,977;NA;0,0973372330476264;0,68682360569889;0,754090050613035
"Philocourdos thauensis";"Thau";"FDA";300;0,977;0,157845925330783;0,166906077354976;0,850143382526803;0,837331172558761
"Philocourdos thauensis";"Thau";"GAM";300;0,977;0,0644932858821897;0,0135117092015527;0,338908075083375;0,837250143621787
"Philocourdos thauensis";"Thau";"GBM";300;0,977;NA;NA;NA;NA
