"Species";"Site";"Model";"Nb Occ.";"Sample Bias";"Schoener_Cor_Cor";"Schoener_Uncor_Cor";"Pearson_Cor_Cor";"Pearson_Uncor_Cor";"Spearman_Cor_Cor";"Spearman_Uncor_Cor";"ROI_Schoener";"ROI_Pearson";"ROI_Spearman";"Schoener_pvalue"
"Fugiagrisbelgiumensis";"Grote Nete";"RF";300;0,89;0,881829578462641;0,87909763683796;0,942774114188131;0,940296813382824;0,968051561292695;0,969833126303526;0,00309803809194523;0,00127513579021602;-0,000905243056569139;0,00723283166444922
"Philocourdogenos belgiumensis";"Grote Nete";"RF";300;0,961;0,799007411870455;0,767713673299086;0,73278799990086;0,662183919502607;0,758966958791316;0,674247455230202;0,0391657675591656;0,0407459426094207;0,0481643518871612;0,0000000000000000000000000000000000000000000000000000000000000000000000000000134097071110848
"Philocourdos belgiumensis";"Grote Nete";"RF";300;0,764;0,882031889881034;0,863117799756666;0,92226801844156;0,911368742953286;0,95777285445758;0,958587219390783;0,021443771298245;0,00567000823179202;-0,000415964973336466;0,000000000000000000000000000000000000000000000000000025024077335281
"Philograss belgiumensis";"Grote Nete";"RF";100;0,62;0,94475886634159;0,83689550121348;0,958384150688199;0,845559851703734;0,921889860768117;0,803112990783489;0,114170259704248;0,0576109130299168;0,0618021211356808;0
"Philoherbagenos belgiumensis";"Grote Nete";"RF";80;0,634;0,831120965339974;0,823118121042205;0,886344145771684;0,879040909467692;0,91369767101533;0,910265455851438;0,00962897656479476;0,00387163515224011;0,00179349915918045;0,00000891801921309772
"Philoherbas belgiumensis";"Grote Nete";"RF";80;-0,87;0,837400680385146;0,851667397245029;0,951547548259852;0,957403333204393;0,880413111015198;0,893864593897451;-0,0170369062195191;-0,0030005853302229;-0,00715347218303056;0,996680766427747
"Alteragris thauensis";"Thau";"RF";100;0,821;0,847230645966178;0,819579071846073;0,781655823131903;0,774088145714019;0,789531280155021;0,783500667364377;0,0326375990431395;0,00424755293341728;0,00336993985940368;0,000000000000000000000000000000000000000000000000000000000000000000000000000348099682600218
"Fugiagristhauensis";"Thau";"RF";300;0,985;0,810931903676245;0,789466776612337;0,840843623943941;0,829159820195972;0,893151057717985;0,835561729316676;0,026469703518383;0,00634698330482645;0,0304198273912316;0,0000000000000000000000000000000000000000085402856343735
"Philocourdogenos thauensis";"Thau";"RF";300;0,993;0,828616489515483;0,826891859969162;0,869204952761223;0,868197962804398;0,944722454853091;0,942095602714396;0,00208133626127801;0,000538726347443857;0,00135075940123946;0,102938985832777
"Philocourdos thauensis";"Thau";"RF";300;0,977;0,894017250325508;0,88933478892316;0,946967064988577;0,943881775323439;0,976601693325053;0,976397690119638;0,00523755151328864;0,00158466453830628;0,00010320906134197;0,000191410732349287
"Philograss thauensis";"Thau";"RF";100;0,377;0,867523540637969;0,871262573876751;0,955493551636521;0,955010884693778;0,933037044156081;0,942499325058079;-0,00431000781377351;0,000246826148999157;-0,00489503340383674;0,876179107349359
"Philoherbagenos thauensis";"Thau";"RF";80;0,627;0,820073864822998;0,816234249984207;0,680836109424624;0,644004097294887;0,649499863007701;0,613520598626457;0,00468203536716752;0,0219129110347025;0,0218122263530471;0,00905306934184661
"Philoherbas thauensis";"Thau";"RF";100;-0,348;0,858086760021305;0,856530909256935;0,929389824849791;0,930869578236703;0,915423277896386;0,916583019506139;0,00181316253420687;-0,000766954074212302;-0,000605475365751349;0,197791441589782
"Alteragris norwayensis";"Trondheim";"RF";100;0,945;0,858049764882978;0,872301846557511;0,954937080916348;0,961321962028805;0,920882600580833;0,929141975129967;-0,0166098544138366;-0,00326602895550151;-0,00429978102078524;0,999963233746769
"Fugiagrisnorwayensis";"Trondheim";"RF";300;-0,146;0,880293814434854;0,877702567583364;0,954552978070566;0,952693118403079;0,832226836098667;0,829492705085049;0,0029436158802886;0,000951552446187913;0,00149224482457656;0,0015540827854499
"Philocourdogenos norwayensis";"Trondheim";"RF";300;0,809;0,788901057065763;0,700452310385216;0,707176680713305;0,525179308916661;0,74283091718088;0,580539839282761;0,112116400261299;0,106607226921938;0,0931192327943287;0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000431792499369999
"Philocourdos norwayensis";"Trondheim";"RF";300;0,846;0,857269243238829;0,781569482108929;0,902087639604262;0,822213382023641;0,950971418243014;0,816267871305492;0,0883033676140072;0,0419929428684155;0,0690443466664582;0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000179573127223887
"Philograss norwayensis";"Trondheim";"RF";100;0,958;0,911266455133735;0,902180724176588;0,967498930646682;0,960669573729486;0,981156480737566;0,977642324731024;0,00997044377740607;0,00347108545311962;0,00177379022843991;0,00000000207913330536185
"Philoherbagenos norwayensis";"Trondheim";"RF";80;0,777;0,776252277101357;0,733213584565504;0,650628627769748;0,543741887120027;0,663206886211782;0,563141982999473;0,0554442077729762;0,0647551719699313;0,0601638341218168;0,000000000000000000000000000000000000000000000000000000000000000000451502577807813
"Philoherbas norwayensis";"Trondheim";"RF";100;0,76;0,926515875026442;0,775686977996956;0,981388712882477;0,884559821183438;0,955818836181165;0,682359284384833;0,162791487005208;0,048869205254619;0,139818446748511;0
