"Species";"Site";"Model";"CV";"PA";"Group";"Nb Occ.";"Sample Bias";"Jaccard";"Bray-Curtis";"Boyce";"cAUC";"AUC";"TSS"
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN3";"PA3";"Corrected";300;0,846;0,5;0,913361400398848;0,629;0,780053352769679;0,883;0,713
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN3";"PA4";"Uncorrected";300;0,846;0,5;0,913361400398848;0,931;0,648230936613056;0,834;0,683
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN3";"PA4";"Corrected";300;0,846;0,5;0,913361400398848;0,687;0,815053352769679;0,918;0,764
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN3";"PA5";"Uncorrected";300;0,846;0,5;0,913361400398848;0,872;0,735230936613056;0,921;0,767
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN3";"PA5";"Corrected";300;0,846;0,5;0,913361400398848;0,622;0,766053352769679;0,869;0,679
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN3";"PA6";"Uncorrected";300;0,846;0,5;0,913361400398848;0,916;0,684230936613056;0,87;0,75
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN3";"PA6";"Corrected";300;0,846;0,5;0,913361400398848;0,883;0,777053352769679;0,88;0,767
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN3";"PA7";"Uncorrected";300;0,846;0,5;0,913361400398848;0,83;0,722230936613056;0,908;0,733
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN3";"PA7";"Corrected";300;0,846;0,5;0,913361400398848;0,616;0,782053352769679;0,885;0,712
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN3";"PA8";"Uncorrected";300;0,846;0,5;0,913361400398848;0,793;0,680230936613056;0,866;0,75
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN3";"PA8";"Corrected";300;0,846;0,5;0,913361400398848;0,943;0,778053352769679;0,881;0,78
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN3";"PA9";"Uncorrected";300;0,846;0,5;0,913361400398848;0,911;0,646230936613056;0,832;0,7
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN3";"PA9";"Corrected";300;0,846;0,5;0,913361400398848;0,851;0,786053352769679;0,889;0,733
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN3";"PA10";"Uncorrected";300;0,846;0,5;0,913361400398848;0,856;0,696230936613056;0,882;0,75
"Philocourdos norwayensis";"Trondheim";"GLM";"RUN3";"PA10";"Corrected";300;0,846;0,5;0,913361400398848;0,638;0,814053352769679;0,917;0,759
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN1";"PA1";"Uncorrected";300;0,846;0,5;0,913361400398848;0,889;0,739230936613056;0,925;0,767
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN1";"PA1";"Corrected";300;0,846;0,5;0,913361400398848;NA;NA;NA;NA
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN1";"PA2";"Uncorrected";300;0,846;0,5;0,913361400398848;0,797;0,683230936613056;0,869;0,717
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN1";"PA2";"Corrected";300;0,846;0,5;0,913361400398848;NA;NA;NA;NA
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN1";"PA3";"Uncorrected";300;0,846;0,5;0,913361400398848;0,734;0,727230936613056;0,913;0,833
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN1";"PA3";"Corrected";300;0,846;0,5;0,913361400398848;NA;NA;NA;NA
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN1";"PA4";"Uncorrected";300;0,846;0,5;0,913361400398848;0,339;0,705230936613056;0,891;0,7
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN1";"PA4";"Corrected";300;0,846;0,5;0,913361400398848;NA;NA;NA;NA
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN1";"PA5";"Uncorrected";300;0,846;0,5;0,913361400398848;0,224;0,723230936613056;0,909;0,767
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN1";"PA5";"Corrected";300;0,846;0,5;0,913361400398848;NA;NA;NA;NA
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN1";"PA6";"Uncorrected";300;0,846;0,5;0,913361400398848;0,921;0,680230936613056;0,866;0,733
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN1";"PA6";"Corrected";300;0,846;0,5;0,913361400398848;NA;NA;NA;NA
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN1";"PA7";"Uncorrected";300;0,846;0,5;0,913361400398848;0,683;0,707230936613056;0,893;0,717
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN1";"PA7";"Corrected";300;0,846;0,5;0,913361400398848;NA;NA;NA;NA
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN1";"PA8";"Uncorrected";300;0,846;0,5;0,913361400398848;0,836;0,646230936613056;0,832;0,567
"Philocourdos norwayensis";"Trondheim";"GBM";"RUN1";"PA8";"Corrected";300;0,846;0,5;0,913361400398848;NA;NA;NA;NA
